,Price
0,955165.6126001592
1,1184527.3743972029
2,1268134.9292279817
3,1752967.6049068572
4,1530124.0163168954
5,882057.1705928424
6,1187454.6724878063
7,926482.467655185
8,1517316.573657094
9,1017374.0233573732
10,1060966.7414057308
11,1213382.2226364696
12,1386473.3653813817
13,1235747.5115915618
14,985117.6289110236
15,1957891.588351542
16,1224397.4272492656
17,1425745.297148296
18,552585.3540991661
19,1388209.2192993264
20,1075314.592721624
21,1224001.870843812
22,893435.1192151045
23,1632943.3488277283
24,1117011.1061847066
25,1586889.994631176
26,1252663.6213763226
27,1184893.5601850909
28,1058517.809925588
29,884015.2270688239
30,1097918.41234679
31,1148563.903581492
32,1300265.2104154662
33,999244.6349647824
34,1086186.4278047497
35,1204117.4186541142
36,1515005.384163801
37,1161995.7281770946
38,1335904.5009155408
39,2298379.48670761
40,764955.4982070819
41,721974.551474637
42,1231157.2551474404
43,1014093.309964624
44,972670.8133224328
45,1235226.477832707
46,1638265.394523659
47,454055.6558526805
48,826194.6781509514
49,1040781.7953593384
50,842235.8033529122
51,437146.0203506594
52,753930.5825393641
53,1558758.7958587606
54,1184799.2714969371
55,1417047.627110665
56,1499920.5935294242
57,1667560.879303713
58,1820981.2191220296
59,1158171.72512284
60,1285098.6907913624
61,981753.2384083712
62,940138.9613987308
63,1114729.7245235315
64,1039107.3263056172
65,1176021.3754618713
66,1065907.0809130038
67,231189.8209898588
68,1410362.6130922115
69,844695.504884106
70,1199193.8313295112
71,1243879.8299386548
72,15938.657923287848
73,1738788.3818940688
74,1026271.795942856
75,1057308.2897956015
76,1533017.3071416777
77,1050239.9038404576
78,2119176.261933276
79,1543357.4535105105
80,1574526.977070159
81,615568.113378455
82,1440909.0012831052
83,693931.501505761
84,1138036.5950419137
85,1574279.8139775426
86,1043415.992020972
87,1705546.4122133
88,1418723.656984229
89,1564125.2379417687
90,1603201.0477866288
91,1869886.305262404
92,631712.7237814899
93,1446756.8627614232
94,867898.2822421397
95,1373290.8607785418
96,1914509.5209888024
97,541953.9056802422
98,1433542.021277525
99,1354973.5534951242
100,1545961.6076584705
101,1789607.526139889
102,866666.0553738795
103,1371521.619588533
104,1397943.5134157222
105,1365945.0827829945
106,1622261.671857639
107,822431.7302651771
108,1249223.8310440492
109,1294685.158547012
110,904497.3170887964
111,1273120.2588270574
112,1471746.5551187624
113,1465835.8431777956
114,1536234.7087011335
115,1492965.7334657512
116,1258178.804411881
117,615506.8010811901
118,976483.5805106072
119,1599416.0142626918
120,1500939.8265608612
121,859208.7212247149
122,1426682.1346372126
123,1243239.0034040422
124,990004.730593988
125,1455554.8290921585
126,1377430.072170325
127,1068492.6129947894
128,1196687.6867665497
129,1123386.5312002872
130,1369753.2817485817
131,1281537.3681660516
132,1468030.4077797038
133,1428247.074184676
134,1427832.120659103
135,1250958.248014175
136,1451739.624652712
137,1786085.7505429988
138,995849.7751098222
139,785460.697666195
140,943309.4486039542
141,1188196.881911283
142,1166336.2592978398
143,697656.5924360289
144,1252733.0965516055
145,1774715.4835760146
146,1469237.20519252
147,626020.1694678677
148,1639099.377623702
149,1153680.146027995
150,961727.46838822
151,1178600.6477851174
152,1443907.7473837263
153,1696785.902472176
154,1753820.6224521047
155,1820439.3529108856
156,1162469.8869158158
157,1175868.9992109209
158,873048.3196423554
159,1146886.0930541083
160,585608.6326222321
161,1393482.8496279658
162,1086708.6610426074
163,2219724.161793017
164,1218264.0208623344
165,1375215.0615939235
166,1046030.1142282496
167,2275455.305532437
168,1400111.496727653
169,1020842.5313524116
170,1262494.286828816
171,1843979.3043240043
172,1323326.402922148
173,1361219.30037656
174,1278618.6203141354
175,2105991.791564209
176,1262232.32130769
177,1170204.3390991166
178,299863.0401311839
179,1494241.2261904366
180,1628830.079642039
181,1589431.1706642618
182,1572099.689856232
183,1212440.289762945
184,1072914.996442404
185,2142896.5564072616
186,1869313.106987734
187,854945.506711949
188,1735992.339282555
189,1039915.3412099368
190,1688093.2574580356
191,2001910.21599521
192,1485677.0638068074
193,1538401.8172936328
194,1020095.9135555072
195,1432012.8709221852
196,965318.6957876944
197,1206937.31561416
198,1459540.1330420503
199,1150438.9494932448
200,1481146.950498894
201,1400609.034078121
202,499548.0114305352
203,1239318.1308763127
204,946479.234861472
205,1088548.8265538793
206,1094027.185790039
207,1658695.141283088
208,1057799.2416354215
209,1737981.5298355946
210,1308243.922235843
211,1156329.2740497622
212,952912.2012461232
213,1120943.3385906045
214,1501048.2038845343
215,1525533.406625511
216,1131698.2141953632
217,1788786.455834884
218,1238486.1702122071
219,1302347.5735090529
220,1398310.2001422904
221,852703.2636757497
222,1623100.839875627
223,1462875.9838223844
224,1509929.8324738266
225,1706689.9397544104
226,1526013.3295975295
227,1785374.2920607603
228,1019425.9367578316
229,939040.0035601156
230,1598159.2269511032
231,911656.1052977764
232,1491290.0486560613
233,1539329.3188473182
234,1036704.6914584936
235,1316206.246554098
236,1304789.2625824716
237,1180325.4987802666
238,943469.8080245096
239,1234531.6005033446
240,861321.5806924718
241,1557276.064431644
242,1143203.0678656865
243,685775.5980289889
244,1547888.6330481975
245,878862.7456844705
246,1223915.2526177592
247,968045.4778354148
248,977024.1101963428
249,1347234.0930270965
250,1126821.108811283
251,1378863.6883772104
252,1251430.920318619
253,1335848.3322776183
254,1444572.9714972137
255,1687998.9329604746
256,1016526.5937435456
257,1084945.3996676442
258,981232.6123712712
259,774009.5475941251
260,1850525.5729962275
261,1225612.762609846
262,1637944.6447424416
263,1300389.3508202112
264,1199618.942666095
265,1118047.9912095168
266,1296240.1123716342
267,1578136.165302621
268,1069238.4997052513
269,1242421.532051086
270,1200764.8442004516
271,1275318.5622062266
272,1319478.28736545
273,1222020.821335913
274,1599634.4650367943
275,1343537.1784667335
276,912422.1464209496
277,682632.8048559022
278,1187044.0528088156
279,1335883.8311844517
280,1421047.6461369044
281,1645843.0482722488
282,851633.9109410639
283,806255.875632613
284,1204137.3233669451
285,1539958.930981711
286,792146.0760039431
287,1283401.789251874
288,792449.5430652391
289,1294278.1178850965
290,1173474.3788373224
291,1307506.565069192
292,1072874.610216559
293,1117432.9800574498
294,1452736.786962771
295,1047012.2705665716
296,876763.5840599823
297,774491.653288187
298,630943.4893385402
299,1240503.524121077
300,881273.1168015127
301,1492009.562850291
302,565937.200553177
303,1571464.9652219615
304,631656.4745826736
305,981559.8116783198
306,783566.3279228922
307,1194440.286317711
308,1042373.5240960824
309,1883469.2435416763
310,1327718.3816666016
311,1176437.9189888744
312,1000216.8576741072
313,1050223.6675805135
314,1031121.814457246
315,646248.1833677717
316,867044.9596419198
317,1280588.3418971745
318,1113647.870372066
319,1606602.6835279518
320,877779.3441184588
321,1194594.988366492
322,1255576.272954358
323,1479063.2137821943
324,948788.2757094484
325,939490.9138489172
326,875904.5285939977
327,1337973.732015974
328,1788829.235051204
329,1114169.0373830055
330,1869113.6110749368
331,1434144.2608724642
332,966084.4204303528
333,1730084.4793008969
334,1146321.5813992529
335,1351541.4185628768
336,1451930.6312860253
337,1243501.6508387062
338,1493623.4158691058
339,1669681.2313844662
340,1131533.5554094613
341,1685217.1049444268
342,1002840.2285939913
343,1151341.850204358
344,211017.97049475575
345,1399466.897763413
346,1324377.6087338962
347,926880.8505513167
348,911071.833553066
349,945551.14893088
350,701865.7729563166
351,798892.5150396761
352,1433538.3208426803
353,1343605.8001820482
354,2220799.0691561657
355,975429.4927929222
356,1449409.4356042852
357,1130844.0293626525
358,1604920.973458414
359,1967637.286822351
360,1393897.3902198137
361,1757395.7872397113
362,1574582.0909259126
363,1640646.669835152
364,962591.6565767032
365,834599.9392319452
366,1197069.26419774
367,1329273.2276498622
368,1408550.416793052
369,1621700.4633341725
370,1770616.9299354246
371,944186.159068424
372,1463442.908287028
373,715460.4683462611
374,1703880.2199140803
375,1317167.713293261
376,2004396.3723036903
377,1276987.4919659288
378,1975538.4157534216
379,1153321.6041498005
380,1302664.417257956
381,1187609.1222876178
382,1553976.233904922
383,1273988.4829565596
384,1575492.4962905662
385,1400104.8707602615
386,1223261.46230481
387,1383031.332366437
388,1267714.1492267174
389,729678.6262103077
390,1372806.6163663396
391,1266947.2639766412
392,1501622.125499602
393,2092348.3772236549
394,1822448.616550664
395,1124818.114195813
396,1050838.7041572668
397,1906024.636485015
398,1267443.3976117745
399,1298476.894637183
400,1354609.2458295806
401,1049823.9959112804
402,1539084.9218209032
403,1302814.48932942
404,1394840.5225002612
405,1540762.268628121
406,1881075.4379420872
407,1016301.4433502624
408,1593347.8490790532
409,1181877.1832375266
410,1249461.5616007491
411,1584167.8513026517
412,1209445.2203735302
413,765505.3475276389
414,393639.07395721273
415,1239459.8148165469
416,1353635.4103963175
417,1454943.0736612405
418,1474745.015409376
419,1481171.234478745
420,1639944.9587541027
421,1426832.048925821
422,1823498.406876208
423,534305.1323349292
424,1820595.3672355516
425,1144711.1773279298
426,1405505.2437013972
427,1637259.9986677852
428,1587015.3568694545
429,1219637.366518861
430,766594.3397096981
431,836235.0305323859
432,1619721.7162305776
