,Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Address
0,71043.31324903708,6.046181640589178,6.0958615223120844,3.34,20763.604136923623,"80638 Samantha Village
North Anthony, KS 58656-6462"
1,65632.92598203174,6.420380543874412,5.929531324239572,4.43,42803.2214092985,"76258 Miller Station Suite 386
Lake Heatherport, NM 29988"
2,74960.7676640256,6.467532143785639,6.483895504006983,3.27,35918.89378154244,"7925 Rebecca Cliff Apt. 790
East Amanda, OH 89218-7005"
3,71309.25017028641,7.513611343805959,8.409302633454418,4.35,32356.997376967367,"701 Michael Courts
Lake Diamondchester, ND 59260-2575"
4,68898.34591339418,6.7876485292640485,7.871352644418106,6.39,39515.57156160544,"777 Ross Crossroad
Kaiserville, RI 24445"
5,46147.053056343386,6.623332829320711,7.606831549667412,4.43,27161.12860794621,"90634 Michelle Valleys
North Victoria, WV 99370"
6,60055.60619649332,4.873748963538997,7.505243751615144,4.27,44435.164521252635,"093 Bass Pine
Port Steveshire, VT 94645"
7,76822.43487120047,4.8946420533857244,6.3200358969764645,3.28,24966.188162985873,"317 Rebecca Junction
West Sharon, UT 51606"
8,78803.1228933883,5.52475542937413,7.297613242970803,5.33,34422.03005526516,"USS Watson
FPO AP 01668"
9,58726.529211190136,5.180678469726363,6.979764638407414,3.24,40771.028609287234,"Unit 6719 Box 2139
DPO AA 32000"
10,61592.93770114219,6.67710293684657,6.805077942937469,2.02,23011.96421832439,"0808 Craig Views Suite 251
West Keith, ID 55946"
11,68162.68392566858,6.962206715963229,6.697358009859321,3.07,31843.876337225865,"0575 Edward Cliff
Miguelmouth, NY 06408"
12,68450.26241587175,5.474150935513896,7.376389506750977,4.08,36474.39183199871,"965 Kelly Coves Apt. 212
Johnsonport, IN 68706"
13,68577.1097331161,7.515130582744598,6.4349356664886255,3.29,23927.33192140448,"622 Felicia Coves Apt. 084
Port Ianport, NE 80183"
14,56716.35734795767,5.799631806417251,7.130872685341562,4.36,37250.87098335951,"2390 Robert Ridges Suite 861
Cooperville, VT 77747"
15,82391.51875174636,7.10787581854985,7.69654587933703,3.02,33232.34233913228,"23958 Lisa Extensions Apt. 372
Bryantton, CO 76041-0639"
16,61475.25536206918,6.5783306746872725,7.656511671464959,6.37,31437.51486125884,"597 Brock Haven
New Alexisberg, MH 24498-5838"
17,73223.94230336191,5.0855583658005665,7.706760787049442,6.14,41113.00677372089,"154 Lee Tunnel
Smallland, NC 15747-5815"
18,53630.31680608398,3.4461311542490214,7.048169832187441,3.06,43358.57050129892,"42201 Brandon Brooks
East Justin, MT 68266"
19,55565.04311802848,7.821571971184149,7.761780241693568,4.38,35680.46768098531,"1039 Joshua Stream Suite 533
South Patty, GA 56712-6067"
20,64379.895823670275,5.6676604939347826,8.458903003019183,5.0,32228.254688636694,"919 Pena Isle Suite 282
Christopherfort, IN 97810"
21,61516.100332024005,5.447567552976506,7.80897522391095,4.26,44913.21079613112,"4005 Desiree Circles Apt. 228
Kristinatown, CA 37998-8425"
22,55510.47213577615,6.333973361397611,8.051281301723378,4.24,26153.072738776907,"8837 Louis Meadow Apt. 140
South Karenfurt, AL 47724-7760"
23,79498.39413438046,6.9884141038812775,5.955308380720228,2.34,41484.508125309934,"43119 Julia Street Suite 420
Jorgebury, MS 26196"
24,68606.87004646135,5.930005937719362,6.98027412807717,3.43,36084.837743665725,"2623 Christopher Mountains
New Ericfurt, IA 07112"
25,80379.0553582093,7.070930483370158,4.4073460820254,4.12,54143.328703222665,"5992 Sanders Freeway
Orozcoville, IL 93327-1981"
26,82732.98111408117,5.332712246147298,6.1984763652542565,3.49,41136.52722099734,"0630 Wilson Shoal
North Philip, AK 91611"
27,60343.599410982824,7.827794857356475,7.267249766185943,4.38,24199.052752783908,"8042 Jasmine Ramp
Charlesborough, IL 29751"
28,67417.11234837449,5.728827797167464,6.1952703081616525,3.48,36002.29607890185,"12512 Daniel Lock Apt. 134
Lake Elizabeth, ND 44548"
29,47904.68551074663,6.285249311758717,8.051999208647763,3.4,33853.919599119,"Unit 3397 Box 4463
DPO AA 91280"
30,63277.43084460835,6.9736747761955264,6.174081783878527,2.18,31713.154374868627,"162 Brown Mews
Port Hannah, PW 17556-2452"
31,63838.34079459472,5.24214586419213,6.922515196657201,2.12,41553.32770758928,"368 Lauren Manor Suite 481
Lake Danielmouth, SD 06038"
32,67477.78818404296,6.6235282933178175,7.916171659861113,5.1,29763.92534861556,"PSC 8479, Box 0952
APO AA 33741"
33,61426.05608184287,6.542331604932199,6.3084152197140755,2.46,24517.968435440976,"847 Liu Rue
North Susan, FM 18333-8785"
34,69380.01130521133,5.719610134336443,8.022282697784789,5.18,28115.603162970343,"68217 Timothy Burg
Steveton, AZ 92285"
35,50521.46355810847,7.37445793806288,7.149611673083322,5.11,36713.864843358846,"34850 Ray Prairie Suite 604
Port Carlosstad, ME 81599-5651"
36,73433.62623241093,7.107788623808037,6.227752215905236,2.05,44544.230458731035,"62721 Stewart Mount
Marieburgh, WY 37987-7127"
37,62571.35286332313,5.945193547491548,7.176352932118558,4.37,41465.115631173714,"86533 Gould Hills
Garciachester, DE 09135-4735"
38,71306.45729927486,5.773717162531532,6.688230169654562,2.04,43284.39715786267,"3890 Hunt Trail
Davidhaven, OR 04793"
39,91159.41832718057,6.536045427933751,7.373850919174269,3.01,54861.091096616976,"170 Smith Wall
South Christopherhaven, AZ 87521"
40,61600.925733336786,4.9130818007081976,6.508818009293237,2.38,37457.80723044293,"5274 Brown Ridge Apt. 421
East Robintown, DE 26378-8119"
41,58642.311222216034,5.2099230928527085,6.2753711251437725,3.42,35131.578145165775,"6163 Michael Orchard
Gallagherborough, GA 48395"
42,79310.36197678474,4.247433998680964,7.518204325105611,4.38,43982.18895725302,"561 Shah Turnpike Suite 530
Stephaniemouth, GU 57099"
43,63376.7077650188,6.2540022373113295,6.43747844833822,3.16,29743.593204449804,"8394 Nathan Summit
Port Johnmouth, NE 50019-6886"
44,62485.90147331852,6.129920101815356,7.236661163327131,3.29,32428.12577287436,"Unit 2473 Box 7729
DPO AA 36548-9176"
45,75408.35862094232,5.0356594595475235,7.70018956189636,4.02,33003.25984698848,"828 Jennifer Highway
West Laurashire, CT 94685-4621"
46,80597.11180091741,6.440796383099272,7.6612802628844605,3.1,34487.574762073586,"2608 Penny Stream Suite 360
New Brettport, WI 37004-4215"
47,49775.40594657332,5.305107847973547,6.1785350526006875,2.24,23557.36165410528,"7952 Hubbard Port Apt. 171
Scottstad, FL 50931-5306"
48,58756.182332892946,7.6197764394650225,5.470050058437071,2.11,23272.355023772223,"385 Garza Views
West Wayneport, MH 30304-9234"
49,66959.3398311588,5.369129033568636,6.394880318397705,2.27,36043.0204889754,"580 Maxwell Extensions Suite 388
West Carly, WV 33983"
50,60028.08244676316,5.121560596907184,6.173060324351282,3.29,36651.51946740345,"7891 Amber Springs Suite 295
East Jonathanstad, WV 87494-7507"
51,60945.72179859893,4.781651489032806,5.628334764316257,3.08,34162.956731244856,"53074 Alexis Village Apt. 437
Floydland, DC 23157"
52,49032.99778472577,5.843476170139022,8.02534928742282,4.13,36292.99615901843,"0580 Adam Turnpike Suite 906
West Steven, MN 18954"
53,76114.15936153673,6.769699197486175,7.321609659804224,5.02,42601.81530142117,"674 Todd Ports
Parsonschester, VA 49485-9488"
54,63989.84052051413,5.989460465593778,6.560410110574957,4.27,32059.77379747305,"USCGC Mason
FPO AA 08033"
55,66496.72623104608,6.138062920206424,7.651811446558771,4.38,31227.0302403494,"43375 Thomas Ways
South Danielport, ID 58344-2248"
56,80939.63457319644,6.334545747765312,7.647145424949519,3.31,27771.54450515459,"7084 Turner Crossing Suite 917
New Mary, AL 17062-1557"
57,63884.9264114894,7.722145948842168,5.7919575738124935,4.33,64566.68738030215,"42051 Jeffrey Plaza Apt. 613
East Katelynview, MI 10825-3446"
58,82810.89478564357,7.089076786027638,6.8065360546886415,4.39,39779.64722971571,"55494 Robin Orchard
East Nicholas, MP 49146-3130"
59,62972.07891342608,6.478153600849488,6.832220863181554,3.22,25243.860159729826,"25113 Conway Brooks
Vasquezton, FL 47149"
60,71350.77627682306,5.802554121239652,8.787965083446286,4.38,29207.160287746738,"1980 Kimberly Highway Apt. 890
Kimberlyburgh, VA 66286"
61,77208.64023179737,4.8049142974113535,6.951254520818972,2.08,28550.4812998678,"02802 Hahn Causeway
Lake Melissa, DC 18071-0272"
62,50172.57073089996,6.334568109630776,7.346448515787014,4.38,32764.43591403077,"59958 Austin Heights
Lake Julie, MS 90545-5499"
63,76388.55195821446,5.588038152923076,6.845532331651052,2.2,36841.17614270281,"PSC 1483, Box 6662
APO AP 78821-4369"
64,67056.84048037339,5.222168521547248,7.163517523214236,5.25,25134.68148451727,"3440 Cannon Lakes
Port Melaniehaven, WA 60324-0399"
65,61522.9311152275,6.154820118761503,8.707035450079715,6.46,30398.57293898597,"249 Wall Stream Suite 514
Lake Cynthiaville, WY 10462"
66,77279.76365848511,5.966407438264673,5.3692824739213405,2.05,37520.70754736289,"020 Hall Drive Suite 047
Petershire, RI 54803"
67,62173.580099008206,5.098958554487097,5.662268147045037,3.14,3883.448164008629,"71460 Nelson Rest
New Alexis, IN 90049-5470"
68,69351.47741870613,5.468522725802324,6.458904503832356,2.09,46833.13129015402,"267 Victoria Well
Allenville, PW 90300"
69,56143.3619702912,5.494289797707812,5.274642348637816,4.02,46896.626362813986,"95828 Teresa Meadow
Millerbury, OR 64244"
70,74372.81020915511,5.500128572841659,6.593045603910363,2.07,39395.15118232914,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811"
71,56851.083123522665,6.712027206255377,7.056322216284362,4.44,37438.93604062829,"6178 Carrie Well Suite 887
Lake Samantha, OR 56633"
72,47320.65720537888,3.5580537596344395,7.006987009368182,3.16,15776.6185950135,"91410 Megan Camp Suite 360
Laurafort, OH 15735"
73,69446.45521421457,6.755066604029044,8.50098164829101,6.29,47025.183677287285,"68483 Jones Overpass Apt. 040
Port April, OH 93290-6834"
74,61252.63767152307,5.1899113362409715,7.191572626893767,4.43,40890.266028668106,"3505 Smith Spring
Lake Ashleyville, WY 32703-3550"
75,64469.90966885718,6.033779427742928,7.607406816527082,3.31,29247.45536357584,"2638 Parker Union Suite 033
South Charles, OR 38091-0348"
